date,new_case,new_death,current_case,total_case,total_death,new_recoveries,total_recovered,remove
10/05/2021 20:20,5077,198,373582,4116284,123116,15063,3619585,
11/05/2021 20:20,6942,251,363770,4123226,123367,16503,3636088,
12/05/2021 20:20,7849,262,352334,4131075,123629,19023,3655111,
13/05/2021 20:20,8080,201,345918,4139155,123830,14295,3669406,
14/05/2021 20:20,7560,182,339514,4146715,124012,13782,3683188,
15/05/2021 20:20,6654,136,332740,4153369,124148,13292,3696480,
16/05/2021 20:20,5752,93,328796,4159121,124241,9603,3706083,
17/05/2021 20:20,3452,140,322803,4162573,124381,9305,3715388,
18/05/2021 20:20,4446,201,315217,4167019,124582,11831,3727219,
19/05/2021 20:20,5501,149,306640,4172520,124731,13929,3741148,
20/05/2021 20:20,5738,164,299398,4178258,124895,12816,3753964,
21/05/2021 20:20,5215,133,291785,4183473,125028,12695,3766659,
22/05/2021 20:20,4715,125,283742,4188188,125153,12633,3779292,
23/05/2021 20:20,3994,72,281091,4192182,125225,6573,3785865,
24/05/2021 20:20,2486,110,276435,4194668,125335,7032,3792897,
